Galletas Marias,$44.90,Gamesa,Galletas
Galletas Saladitas,$40.00,Gamesa,Galletas
Canelitas,$32.90,Marinela,Galletas
Barras suaves sabor a chocolate con chispas sabor a chocolate,$45.00,Fiber One ,Galletas
Galletas de avena chocolate, $23.70,Quaker, Galletas
Galleta de arroz,$59.00,Sanissimo, Galletas
Galletas de avena,$23.70,Quaker,Galletas
Galletas de arroz integral,$29.00,Okoo,Galletas
Galletas sabor vainilla sin azúcar,$45.00,Voortman,Galletas
Galletas light sin azúcar 250 g,$74.00,Taifelds,Galletas
Galletas multigrano,$60.50,Dare Breton, Galletas
Galletas con nuez,$105.00,Lilí,Galletas
Galletas Piruetas tipo sándwich,$30.00,Emperador,Galletas
Galletas sabor chocolate con relleno,$28.80,Oreo, Galletas
Galletas  Cremax tipo wafer surtido sabor,$29.35,Gamesa,Galletas
Cuernitos rebanados,$30.50,Tia Rosa,Pan dulce
Pan dulce Nito,$40.90,Bimbo,Pan dulce
Pastelitos Mini Gansito,$45.50,Marinela,Pan dulce
Dona Gansito,$17.00,Marinela,Pan dulce
Pastelito Gansito gold,$48.50,Marinela,Pan dulce
Panque con nuez,$40.90,Bimbo, Pan dulce
Pastelitos para tostar pop tarts,$42.40,Kellogg´s,Pan dulce
Pastelitos mini pinguinos,$45.50,Marinela,Pan dulce
Chocoroles sabor piña,$21.50,Marinela,Pan dulce
Donas azucaradas,$26.35,Bimbo,Pan dulce
Panque con pasas,$41.50,Bimbo,Pan dulce
Mantecadas sabor vainilla,$20.50,Bimbo,Pan dulce
Mini pay con nuez,$52.00,Marinela,Pan dulce
Leche entera pack,$111.00,Great value,Lacteos
Leche entera pack,$146.00,Santa clara,Lacteos
Producto a base de leche,$33.30,Yakult,Lacteos
Yoghurt griego natural sin azucar añadida,$54.00,Yoplait,Lacteos
Yoghurt batido natural,$31.00,Alpura,Lacteos
Queso petit suisse sabor fresa,$47.00,Danonino,Lacteos
Salchicha schubling,$65.00,Tangamanga,Carnes frias
